last_obs,v_inf,ip,h,range,n_imp,last_obs_jd,fullname,ps_max,ts_max,diameter,ps_cum,id,des
2018-06-25,4.89885343270313,2.11466e-07,25.23,2112-2120,4,2458294.5,(2018 LM),-7.65,0,0.03,-7.26,bK18L00M,2018 LM
2024-09-29,7.27,2.617e-08,25.79,2118-2118,1,2460582.5,(2024 PF2),-8.37,0,0.024,-8.37,bK24P02F,2024 PF2
2023-10-15,10.9899560871448,0.00013111878,27.63,2089-2115,3,2460232.5,(2023 SY5),-5.29,0,0.01,-5.29,bK23S05Y,2023 SY5
2004-11-22,5.98,1.094e-07,26.20,2117-2117,1,2453331.5,(2004 WC1),-7.98,0,0.019,-7.98,bK04W01C,2004 WC1
2011-02-11,11.87,1.067e-07,25.14,2097-2097,1,2455603.5,(2011 AK37),-7.19,0,0.032,-7.19,bK11A37K,2011 AK37
2021-07-06,8.84,1.653e-07,26.91,2092-2092,1,2459401.5,(2021 NB),-7.92,0,0.014,-7.92,bK21N00B,2021 NB
2020-04-18,7.75556559014483,4.8056e-07,25.18,2067-2115,4,2458957.5,(2020 HF),-7.06,0,0.031,-6.72,bK20H00F,2020 HF
2020-04-30,15.1856675935634,2.1937e-08,26.62,2071-2099,4,2458969.5,(2020 HM6),-8.67,0,0.016,-8.39,bK20H06M,2020 HM6
2020-05-04,12.0690780141844,5.076e-07,27.86,2106-2115,2,2458973.5,(2020 JV38),-8.15,0,0.00905,-7.89,bK20J38V,2020 JV38
2020-11-18,8.37,9.3114e-06,23.99,2099-2099,2,2459171.5,(2020 TY4),-4.84,0,0.054,-4.83,bK20T04Y,2020 TY4
2022-01-14,22.9342271917673,4.5477e-08,26.26,2084-2121,3,2459593.5,(2022 AY6),-7.79,0,0.019,-7.71,bK22A06Y,2022 AY6
2017-08-19,20.2921442046681,5.855178e-07,26.80,2050-2093,10,2457984.5,(2017 QT1),-6.72,0,0.015,-6.58,bK17Q01T,2017 QT1
2020-04-21,14.8826160483768,1.01867e-07,26.85,2077-2116,5,2458960.5,(2020 GV2),-8.04,0,0.014,-7.82,bK20G02V,2020 GV2
2011-06-04,7.95,6.433e-08,26.94,2061-2061,1,2455716.5,(2011 KE15),-8.10,0,0.014,-8.10,bK11K15E,2011 KE15
2020-10-24,7.60665376816928,2.07834028e-05,26.93,2082-2121,13,2459146.5,(2020 UK2),-6.29,0,0.014,-5.90,bK20U02K,2020 UK2
2005-03-08,8.42,1.880e-06,22.68,2117-2117,1,2453437.5,(2005 CC37),-4.98,0,0.098,-4.98,bK05C37C,2005 CC37
2014-02-28,8.51,1.090e-08,26.75,2111-2111,1,2456716.5,(2014 DC),-9.14,0,0.015,-9.14,bK14D00C,2014 DC
2021-04-25,7.68351199738039,4.18383e-08,28.85,2051-2104,10,2459329.5,(2021 HY2),-9.76,0,0.0058,-9.26,bK21H02Y,2021 HY2
2021-11-10,17.0682100525364,4.6317365e-06,28.95,2084-2121,19,2459528.5,(2021 VW6),-7.74,0,0.0055,-7.26,bK21V06W,2021 VW6
2015-04-20,14.6044397332988,3.0896e-07,27.01,2098-2117,4,2457132.5,(2015 HE1),-7.79,0,0.013,-7.59,bK15H01E,2015 HE1
